
aardwolf aardwolves
abacus abaci
aboideau aboideaux
aboiteau aboiteaux
abscissa abscissae
acanthus acanthi
acarus acari
acciaccatura acciaccature
acetabulum acetabula
achaemenid achaemenidae
achaemenid achaemenides
achievement achievements
achiever achievers
acicula aciculae
aciculum acicula
acinus acini
acromion acromia
act acts
actinia actiniae
actinozoan actinozoa
action actions
activity activities
actor actors
addendum addenda
addendum addendums
addition additions
adenocarcinoma adenocarcinomata
adenoma adenomata
adieu adieux
adjustment adjustments
advertisement advertisements
advice advice
adytum adyta
aecidium aecidia
aecium aecia
aerobium aerobia
aftermath aftermaths
afternoon afternoons
afterthought afterthoughts
aggiornamento aggiornamenti
agnomen agnomina
agon agones
agora agorae
agouti agouties
agreement agreements
air airs
aircraft aircraft
airplane airplanes
airport airports
ala alae
alarm alarms
alewife alewives
alkali alkalies
alley alleys
allodium allodia
alluvium alluvia
alodium alodia
altocumulus altocumuli
altostratus altostrati
alula alulae
alumna alumnae
alumnus alumni
alveolus alveoli
amanuensis amanuenses
ambulacrum ambulacra
ameba amebae
amniocentesis amniocenteses
amnion amnia
amoeba amoebae
amoebiasis amoebiases
amora amoraim
amoretto amoretti
amorino amorini
amount amounts
amphiarthrosis amphiarthroses
amphimixis amphimixes
amphioxus amphioxi
amphisbaena amphisbaenae
amphithecium amphicia
amphora amphorae
ampulla ampullae
amusement amusements
amygdala amygdalae
anabasis anabases
anacoluthon anacolutha
anacrusis anacruses
anaerobium anaerobia
anagnorisis anagnorises
analemma analemmata
analysis analyses
anamnesis anamneses
anamorphosis anamorphoses
anaptyxis anatyxes
anastomosis anastomoses
anatto annattos
ancon ancones
androclinium androclinia
androecium androecia
androsphinx androsphinges
angelfish angelfishes
anger angers
angioma angiomata
angle angles
animal animals
animalculum animalcula
anlage anlagen
annulus annuli
answer answers
anta antae
antalkali antalkalies
ant ants
antefix antefixa
antenna antennae
antenna antennas
antependium antependia
anthelion anthelia
anthelix anthelices
anthemion anthemia
antheridium andtheridia
antheridium antheridia
anthodium anthodia
anthozoan anthozoa
anthrax anthraces
anticlinorium anticlinoria
antihelix antihelices
antihero antiheroes
antiserum antisera
antithesis antitheses
antitragus antitragi
antrum antra
anus anus
aorta aortae
apex apexes
apex apices
aphelion aphelia
aphis aphides
apodosis apodoses
apomixis apomixes
aponeurosis aponeuroses
apophysis apophyses
aposiopesis aposiopeses
apothecium apothecia
apotheosis apotheoses
apparatus apparatus
apparel apparels
