admit admits admitted admitting
advise advises advised advising
afford affords afforded affording
agree agrees agreed agreeing
allow allows allowed allowing
amuse amuses amused amusing
announce announces announced announcing
annoy annoys annoyed annoying
appear appears appeared appearing
applaud applauds applauded applauding
appreciate appreciates appreciated appreciating
approve approves approved approving
argue argues argued arguing
arrange arranges arranged arranging
arrest arrests arrested arresting
arrive arrives arrived arriving
ask asks asked asking
attach attaches attached attaching
attack attacks attacked attacking
attempt attempts attempted attempting
attend attends attended attending
attract attracts attracted attracting
avoid avoids avoided avoiding
bake bakes baked baking
ban bans banned banning
bathe bathes bathed bathing
beg begs begged begging
behave behaves behaved behaving
belong belongs belonged belonging
bleach bleaches bleached bleaching
bless blesses blessed blessing
blink blinks blinked blinking
blush blushes blushed blushing
boast boasts boasted boasting
boil boils boiled boiling
bore bores bored boring
borrow borrows borrowed borrowing
bounce bounces bounced bouncing
breathe breathes breathed breathing
burn burns burned burning
bury buries buried burying
calculate calculates calculated calculating
call calls called calling
carry carries carried carrying
carve carves carved carving
change changes changed changing
charge charges charged charging
chase chases chased chasing
cheat cheats cheated cheating
check checks checked checking
cheer cheers cheered cheering
chew chews chewed chewing
choke chokes choked choking
chop chops chopped chopping
claim claims claimed claiming
clap claps clapped clapping
collect collects collected collecting
command commands commanded commanding
communicate communicates communicated communicating
compare compares compared comparing
compete competes competed competing
complain complains complained complaining
concentrate concentrates concentrated concentrating
concern concerns concerned concerning
confess confesses confessed confessing
confuse confuses confused confusing
connect connects connected connecting
consider considers considered considering
consist consists consisted consisting
contain contains contained containing
continue continues continued continuing
cough coughs coughed coughing
count counts counted counting
cover covers covered covering
crash crashes crashed crashing
crawl crawls crawled crawling
crush crushes crushed crushing
cry cries cried crying
cure cures cured curing
curl curls curled curling
dance dances danced dancing
dare dares dared daring
decay decays decayed decaying
deceive deceives deceived deceiving
decide decides decided deciding
decorate decorates decorated decorating
delay delays delayed delaying
delight delights delighted delighting
deliver delivers delivered delivering
depend depends depended depending
describe describes described describing
desert deserts deserted deserting
deserve deserves deserved deserving
destroy destroys destroyed destroying
detect detects detected detecting
develop develops developed developing
disagree disagrees disagreed disagreeing
disappear disappears disappeared disappearing
disapprove disapproves disapproved disapproving
discover discovers discovered discovering
dislike dislikes disliked disliking
divide divides divided dividing
dress dresses dressed dressing
drip drips dripped dripping
drop drops dropped dropping
drown drowns drowned drowning
embarrass embarrasses embarrassed embarrassing
employ employs employed employing
enter enters entered entering
entertain entertains entertained entertaining
expand expands expanded expanding
expect expects expected expecting
explode explodes exploded exploding
fade fades faded fading
flap flaps flapped flapping
flash flashes flashed flashing
float floats floated floating
flow flows flowed flowing
fold folds folded folding
follow follows followed following
frighten frightens frightened frightening
fry fries fried frying
gather gathers gathered gathering
gaze gazes gazed gazing
glow glows glowed glowing
grab grabs grabbed grabbing
grate grates grated grating
greet greets greeted greeting
grin grins grinned grinning
grip grips gripped gripping
groan groans groaned groaning
guard guards guarded guarding
guess guesses guessed guessing
